teacher_id,training_date,composite_training_gain,assessment_incomplete,knowledge_gain,skill_gain,attitude_gain,pre_training_practice_score,post_training_practice_score,post_visit_count,practice_delta,no_baseline,no_post_observation,pending_observation,single_post_visit,quadrant
T001,2025-06-06,0.3333333333333333,False,0.0,0.0,1.0,2.0,2.75,1.0,0.75,False,False,False,True,Improvement from Other Factors
T002,2025-07-18,1.6666666666666667,False,2.0,2.0,1.0,2.75,3.5,2.0,0.75,False,False,False,False,Training Translating Well
T003,2025-06-25,1.3333333333333333,False,1.0,2.0,1.0,2.75,3.25,1.0,0.5,False,False,False,True,Training Translating Well
T004,2025-07-21,1.0,False,1.0,1.0,1.0,3.75,3.5,1.0,-0.25,False,False,False,True,Knowing-Doing Gap
T005,2025-06-23,1.0,False,2.0,1.0,0.0,1.5,4.125,2.0,2.625,False,False,False,False,Training Translating Well
T006,2025-06-29,0.3333333333333333,False,1.0,0.0,0.0,3.25,3.0,1.0,-0.25,False,False,False,True,Needs Foundational Support
T007,2025-07-05,,True,,,,1.25,3.375,2.0,2.125,False,False,False,False,Not Insight-Ready
T008,2025-07-11,1.0,False,1.0,1.0,1.0,1.5,3.25,1.0,1.75,False,False,False,True,Training Translating Well
T009,2025-06-29,1.0,False,1.0,2.0,0.0,2.0,3.75,2.0,1.75,False,False,False,False,Training Translating Well
T010,2025-07-14,1.0,False,1.0,1.0,1.0,1.75,3.5,1.0,1.75,False,False,False,True,Training Translating Well
T011,2025-07-19,0.3333333333333333,False,1.0,0.0,0.0,2.25,3.0,1.0,0.75,False,False,False,True,Improvement from Other Factors
T012,2025-06-19,1.3333333333333333,False,2.0,1.0,1.0,,3.75,1.0,,True,False,False,True,Not Insight-Ready
T013,2025-07-31,0.6666666666666666,False,1.0,1.0,0.0,2.5,2.5,1.0,0.0,False,False,False,True,Needs Foundational Support
T014,2025-07-11,1.3333333333333333,False,2.0,1.0,1.0,1.75,3.0,1.0,1.25,False,False,False,True,Training Translating Well
T015,2025-06-11,0.0,False,0.0,0.0,0.0,,,,,False,False,True,False,Not Insight-Ready
T016,2025-06-24,1.3333333333333333,False,2.0,1.0,1.0,2.75,4.75,1.0,2.0,False,False,False,True,Training Translating Well
